message,timestamp,severity,tags,attributes
,2026-04-27T07:38:21.889918336Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[35m=========================,2026-04-27T07:38:24.778609551Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
Using Detected Dockerfile,2026-04-27T07:38:24.778630764Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[0m,2026-04-27T07:38:24.778640765Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[internal] load metadata for docker.io/library/eclipse-temurin:21-jre-alpine,2026-04-27T07:38:24.986752423Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:086ea836daea68de122d356fd00a83ed25f9de03f86f12c21859cbfc57a63266"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T07:38:24.982120641Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/eclipse-temurin:21-jdk,2026-04-27T07:38:24.986865898Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:e93b7ad54590f2713210a5b53cfa3b59e8622f6f150bc1181aeb2f958dc763d7"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T07:38:24.982183008Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/node:20-alpine,2026-04-27T07:38:24.986888347Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:ccecbba0a2e5c072602481fed7ccd4ede19058d4d7721294b010c0440ce9c682"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T07:38:24.98218946Z"",""type"":""vertex""}"
[internal] load .dockerignore,2026-04-27T07:38:26.046122177Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-27T07:38:26.041526643Z"",""digest"":""sha256:d97bb073ba1538b92a00b84d3371d6c0abbb44f565b49151f8018e236fce71d2"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T07:38:26.041493238Z"",""type"":""vertex""}"
[backend-build 7/9] RUN mkdir -p src/main/resources/static,2026-04-27T07:38:26.063518479Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:8811257ca42bd0d674944364b4a0529f5b4288202c15ee56cea27f88eb3b8a61"",""inputs"":[""sha256:610e87748e2bdae335a2ec9e68042bad9342af4d5258a40a2baedcf9353e962e""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[backend-build 6/9] COPY backend/src ./src,2026-04-27T07:38:26.063551809Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:610e87748e2bdae335a2ec9e68042bad9342af4d5258a40a2baedcf9353e962e"",""inputs"":[""sha256:9874c8cb576767c46542eb1da659563f9c2fb3ad8c666c12f2be3f95abadd5b5"",""sha256:085b68d718ee7ab82ad0cf62b35909933e80b1eddcab851fb6ec70af61e756d9""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[backend-build 5/9] RUN mvn dependency:go-offline -B --no-transfer-progress || true,2026-04-27T07:38:26.063563141Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:9874c8cb576767c46542eb1da659563f9c2fb3ad8c666c12f2be3f95abadd5b5"",""inputs"":[""sha256:b9f2feead26fc82127cb2e942dec92d63bde9569e41bec69ea3cb1c4c375e878""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[backend-build 4/9] COPY backend/pom.xml .,2026-04-27T07:38:26.063572234Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:b9f2feead26fc82127cb2e942dec92d63bde9569e41bec69ea3cb1c4c375e878"",""inputs"":[""sha256:2f24dc699152b5ed9996eadc271a79c14b13b621f424f516cb48486d40c4ae5f"",""sha256:085b68d718ee7ab82ad0cf62b35909933e80b1eddcab851fb6ec70af61e756d9""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[internal] load build context,2026-04-27T07:38:26.063579861Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:085b68d718ee7ab82ad0cf62b35909933e80b1eddcab851fb6ec70af61e756d9"",""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[backend-build 3/9] WORKDIR /app/backend,2026-04-27T07:38:26.063588469Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:2f24dc699152b5ed9996eadc271a79c14b13b621f424f516cb48486d40c4ae5f"",""inputs"":[""sha256:10fcdd79de90b32017335aa20a848ff6bc99f1b1ec256dc942178e6ff62b86e7""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[backend-build 1/9] FROM docker.io/library/eclipse-temurin:21-jdk@sha256:e58e492628c1428ceb838afc1a1b8762673d5eaa09296f560c363daea0fdcf3b,2026-04-27T07:38:26.063612646Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:06733701c34f888436d842ff4115380f5a049ac9b1ba0600fa441048ae6f4f1b"",""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[stage-2 1/7] FROM docker.io/library/eclipse-temurin:21-jre-alpine@sha256:ad0cdd9782db550ca7dde6939a16fd850d04e683d37d3cff79d84a5848ba6a5a,2026-04-27T07:38:26.063635797Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:e78d4b544fc97be399fa12b29f706021336e04f4234b62d28803e08d13496550"",""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[frontend-build  7/12] COPY frontend/index.html ./,2026-04-27T07:38:26.063885851Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:d3ac56e4018f7a3a11ae4473378b6235b197f3b2bf28c0bb33f64b98b72e945f"",""inputs"":[""sha256:3dc716760ca0b9867d9543ef932ae34679eb67f823cb8bf9a8f8ca2bf30e754b"",""sha256:085b68d718ee7ab82ad0cf62b35909933e80b1eddcab851fb6ec70af61e756d9""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[stage-2 6/7] RUN chmod +x ./start.sh,2026-04-27T07:38:26.063900546Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:2bb07580ce972857877eb5d6708396727024b222da57b7bfe4791b70acaadbc7"",""inputs"":[""sha256:114bc1bbc72eb7bb2c0c41df3094fd1a095ea5beabe6015b97eba94c5d5c36bb""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[backend-build 9/9] RUN ls -la src/main/resources/static/ && mvn clean package -DskipTests -B --no-transfer-progress,2026-04-27T07:38:26.063915173Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:0ea936ad878ebdf4897f479c3cb18122f466dde167677641d34978d84438956e"",""inputs"":[""sha256:a3bf36998016b52c2cb0db82c836535be112a8a999f0ef9b898f5154c78405d8""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[frontend-build  3/12] COPY frontend/package.json ./,2026-04-27T07:38:26.063952273Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:df980de04e0400bfa42ae44b43cf70b262094ae3a388e2942057929169a2a940"",""inputs"":[""sha256:540342666b3c598f3caa6d34e0f7b5536a4113ac7331f59981814cceb8608f15"",""sha256:085b68d718ee7ab82ad0cf62b35909933e80b1eddcab851fb6ec70af61e756d9""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[frontend-build  2/12] WORKDIR /app/frontend,2026-04-27T07:38:26.063959124Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:540342666b3c598f3caa6d34e0f7b5536a4113ac7331f59981814cceb8608f15"",""inputs"":[""sha256:9e8035954701ac862750cb29c5dd94fdce7970dbbcd86f0137ae0746eddf6dd0""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[backend-build 8/9] COPY --from=frontend-build /app/frontend/dist/ src/main/resources/static/,2026-04-27T07:38:26.063973436Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:a3bf36998016b52c2cb0db82c836535be112a8a999f0ef9b898f5154c78405d8"",""inputs"":[""sha256:8811257ca42bd0d674944364b4a0529f5b4288202c15ee56cea27f88eb3b8a61"",""sha256:94bd4b9874d4c241d08edde842eb0055643d9cb837a9e50039effb2e0738425c""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
