message,timestamp,severity,tags,attributes
,2026-04-27T04:09:55.118414783Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[35m[Region: asia-southeast1][0m,2026-04-27T04:09:57.720954824Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[35m=========================,2026-04-27T04:09:57.726522545Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
Using Detected Dockerfile,2026-04-27T04:09:57.726549276Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
=========================,2026-04-27T04:09:57.726553053Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[0m,2026-04-27T04:09:57.726556624Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
context: xbvt-ismP,2026-04-27T04:09:57.726569138Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[internal] load build definition from Dockerfile,2026-04-27T04:09:57.874094788Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:0bf5250a7010621670f0ff4a27c07dbcfd06cff0027cd3b5eed47437862126e8"",""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-04-27T04:09:57.874146301Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:0bf5250a7010621670f0ff4a27c07dbcfd06cff0027cd3b5eed47437862126e8"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T04:09:57.870486667Z"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-04-27T04:09:57.874168261Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-27T04:09:57.870520856Z"",""digest"":""sha256:0bf5250a7010621670f0ff4a27c07dbcfd06cff0027cd3b5eed47437862126e8"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T04:09:57.870486667Z"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-04-27T04:09:57.874184335Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:0bf5250a7010621670f0ff4a27c07dbcfd06cff0027cd3b5eed47437862126e8"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T04:09:57.870705768Z"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-04-27T04:09:57.887518656Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-27T04:09:57.884385336Z"",""digest"":""sha256:0bf5250a7010621670f0ff4a27c07dbcfd06cff0027cd3b5eed47437862126e8"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T04:09:57.870705768Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/eclipse-temurin:21-jre-alpine,2026-04-27T04:09:57.889726309Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:086ea836daea68de122d356fd00a83ed25f9de03f86f12c21859cbfc57a63266"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T04:09:57.886478409Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/node:20-alpine,2026-04-27T04:09:57.889752319Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:ccecbba0a2e5c072602481fed7ccd4ede19058d4d7721294b010c0440ce9c682"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T04:09:57.886507201Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/eclipse-temurin:21-jdk,2026-04-27T04:09:57.889767149Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:e93b7ad54590f2713210a5b53cfa3b59e8622f6f150bc1181aeb2f958dc763d7"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T04:09:57.886515601Z"",""type"":""vertex""}"
[auth] library/node:pull token for registry-1.docker.io,2026-04-27T04:09:57.893840594Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:a909761d2db2d2baeedd2860419b58baf7cc5da4d0c1c20292393df8f6f26f8b"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T04:09:57.893651167Z"",""type"":""vertex""}"
