message,timestamp,severity,tags,attributes
,2026-04-26T12:32:10.212636455Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[35m[Region: asia-southeast1][0m,2026-04-26T12:32:13.043577322Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[35m=========================,2026-04-26T12:32:13.051697070Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
Using Detected Dockerfile,2026-04-26T12:32:13.051740587Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
=========================,2026-04-26T12:32:13.051745622Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[0m,2026-04-26T12:32:13.051749635Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
context: ndfj-8z9F,2026-04-26T12:32:13.051763425Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[internal] load build definition from Dockerfile,2026-04-26T12:32:13.273670798Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:19ecd6f4eeb9e144216b7283a4448aa8b0719fb701064b99771e7a3c026f0ced"",""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-04-26T12:32:13.273731889Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-26T12:32:13.269353315Z"",""digest"":""sha256:19ecd6f4eeb9e144216b7283a4448aa8b0719fb701064b99771e7a3c026f0ced"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-26T12:32:13.269306822Z"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-04-26T12:32:13.273759142Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:19ecd6f4eeb9e144216b7283a4448aa8b0719fb701064b99771e7a3c026f0ced"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-26T12:32:13.269499394Z"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-04-26T12:32:13.287264762Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-26T12:32:13.283235166Z"",""digest"":""sha256:19ecd6f4eeb9e144216b7283a4448aa8b0719fb701064b99771e7a3c026f0ced"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-26T12:32:13.269499394Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/eclipse-temurin:21-jre-alpine,2026-04-26T12:32:13.290163577Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:086ea836daea68de122d356fd00a83ed25f9de03f86f12c21859cbfc57a63266"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-26T12:32:13.286325038Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/node:20-alpine,2026-04-26T12:32:13.290257750Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:ccecbba0a2e5c072602481fed7ccd4ede19058d4d7721294b010c0440ce9c682"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-26T12:32:13.286330988Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/eclipse-temurin:21-jdk,2026-04-26T12:32:13.290274999Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:e93b7ad54590f2713210a5b53cfa3b59e8622f6f150bc1181aeb2f958dc763d7"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-26T12:32:13.286431645Z"",""type"":""vertex""}"
[auth] library/eclipse-temurin:pull token for registry-1.docker.io,2026-04-26T12:32:13.983696307Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:15c2e59d2be6fce820bbc9344f17a843ad245efe5a5880a03d0007060053ca23"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-26T12:32:13.983158853Z"",""type"":""vertex""}"
[auth] library/eclipse-temurin:pull token for registry-1.docker.io,2026-04-26T12:32:13.983767211Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-26T12:32:13.983207568Z"",""digest"":""sha256:15c2e59d2be6fce820bbc9344f17a843ad245efe5a5880a03d0007060053ca23"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-26T12:32:13.983158853Z"",""type"":""vertex""}"
[auth] library/node:pull token for registry-1.docker.io,2026-04-26T12:32:13.989631916Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:9c22f2ecc929173940144f9f1279e3463fd36632ba0baf31ab26a73a780df03b"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-26T12:32:13.989305947Z"",""type"":""vertex""}"
[auth] library/node:pull token for registry-1.docker.io,2026-04-26T12:32:13.989718924Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-26T12:32:13.989335083Z"",""digest"":""sha256:9c22f2ecc929173940144f9f1279e3463fd36632ba0baf31ab26a73a780df03b"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-26T12:32:13.989305947Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/node:20-alpine,2026-04-26T12:32:15.487794126Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-26T12:32:15.483594116Z"",""digest"":""sha256:ccecbba0a2e5c072602481fed7ccd4ede19058d4d7721294b010c0440ce9c682"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-26T12:32:13.286330988Z"",""type"":""vertex""}"
