message,timestamp,severity,tags,attributes
,2026-04-27T10:27:57.113875424Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[35m[Region: asia-southeast1][0m,2026-04-27T10:27:59.745571895Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[35m=========================,2026-04-27T10:27:59.750321425Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
Using Detected Dockerfile,2026-04-27T10:27:59.750348307Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
=========================,2026-04-27T10:27:59.750354655Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[0m,2026-04-27T10:27:59.750359544Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
context: f17c-SiNL,2026-04-27T10:27:59.750371217Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[internal] load build definition from Dockerfile,2026-04-27T10:27:59.899669162Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:2f0264d52ffea612587b28da50042153263d95c3c6c0b485477fa2457e92cb35"",""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-04-27T10:27:59.899716842Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-27T10:27:59.896936645Z"",""digest"":""sha256:2f0264d52ffea612587b28da50042153263d95c3c6c0b485477fa2457e92cb35"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T10:27:59.896888553Z"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-04-27T10:27:59.899731856Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:2f0264d52ffea612587b28da50042153263d95c3c6c0b485477fa2457e92cb35"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T10:27:59.897046268Z"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-04-27T10:27:59.911639637Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-27T10:27:59.909254498Z"",""digest"":""sha256:2f0264d52ffea612587b28da50042153263d95c3c6c0b485477fa2457e92cb35"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T10:27:59.897046268Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/eclipse-temurin:21-jre-alpine,2026-04-27T10:27:59.913496529Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:086ea836daea68de122d356fd00a83ed25f9de03f86f12c21859cbfc57a63266"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T10:27:59.911116496Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/node:20-alpine,2026-04-27T10:27:59.913648639Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:ccecbba0a2e5c072602481fed7ccd4ede19058d4d7721294b010c0440ce9c682"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T10:27:59.911178681Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/eclipse-temurin:21-jdk,2026-04-27T10:27:59.913665145Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:e93b7ad54590f2713210a5b53cfa3b59e8622f6f150bc1181aeb2f958dc763d7"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T10:27:59.911191834Z"",""type"":""vertex""}"
[auth] library/eclipse-temurin:pull token for registry-1.docker.io,2026-04-27T10:28:00.149440409Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:68c9c07446b6f57f2257e15c5b3ef26118ba51c171b46e9b0e99e1ac175a7d0a"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T10:28:00.149253224Z"",""type"":""vertex""}"
[auth] library/eclipse-temurin:pull token for registry-1.docker.io,2026-04-27T10:28:00.149477588Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-27T10:28:00.149302688Z"",""digest"":""sha256:68c9c07446b6f57f2257e15c5b3ef26118ba51c171b46e9b0e99e1ac175a7d0a"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T10:28:00.149253224Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/node:20-alpine,2026-04-27T10:28:00.227027459Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-27T10:28:00.22446605Z"",""digest"":""sha256:ccecbba0a2e5c072602481fed7ccd4ede19058d4d7721294b010c0440ce9c682"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T10:27:59.911178681Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/eclipse-temurin:21-jre-alpine,2026-04-27T10:28:01.568221016Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-27T10:28:01.56559627Z"",""digest"":""sha256:086ea836daea68de122d356fd00a83ed25f9de03f86f12c21859cbfc57a63266"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T10:27:59.911116496Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/eclipse-temurin:21-jdk,2026-04-27T10:28:01.586845379Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-27T10:28:01.584210116Z"",""digest"":""sha256:e93b7ad54590f2713210a5b53cfa3b59e8622f6f150bc1181aeb2f958dc763d7"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T10:27:59.911191834Z"",""type"":""vertex""}"
[internal] load .dockerignore,2026-04-27T10:28:01.587130541Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:26c9376f78ffb86bbbf0c46e1942f4158713ecd67afc246a14bd5c4b1a8cec32"",""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[internal] load .dockerignore,2026-04-27T10:28:01.587142456Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-27T10:28:01.584670039Z"",""digest"":""sha256:26c9376f78ffb86bbbf0c46e1942f4158713ecd67afc246a14bd5c4b1a8cec32"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T10:28:01.584647854Z"",""type"":""vertex""}"
[internal] load .dockerignore,2026-04-27T10:28:01.587182465Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:26c9376f78ffb86bbbf0c46e1942f4158713ecd67afc246a14bd5c4b1a8cec32"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T10:28:01.584780732Z"",""type"":""vertex""}"
[internal] load .dockerignore,2026-04-27T10:28:01.600280623Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-27T10:28:01.597805439Z"",""digest"":""sha256:26c9376f78ffb86bbbf0c46e1942f4158713ecd67afc246a14bd5c4b1a8cec32"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T10:28:01.584780732Z"",""type"":""vertex""}"
[frontend-build  1/12] FROM docker.io/library/node:20-alpine@sha256:fb4cd12c85ee03686f6af5362a0b0d56d50c58a04632e6c0fb8363f609372293,2026-04-27T10:28:01.604489369Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:9e8035954701ac862750cb29c5dd94fdce7970dbbcd86f0137ae0746eddf6dd0"",""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[backend-build 7/9] RUN mkdir -p src/main/resources/static,2026-04-27T10:28:01.604519334Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:ca29dde192674328dc609245636d5f87e8bcae725ddf400219e679a28d3cee93"",""inputs"":[""sha256:1215866f53146aef40d229d0d080128288212e7876f92c84ca1200628c79e6e5""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[backend-build 6/9] COPY backend/src ./src,2026-04-27T10:28:01.604527462Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:1215866f53146aef40d229d0d080128288212e7876f92c84ca1200628c79e6e5"",""inputs"":[""sha256:de96e5b07fb31f7757977fccbabd362c6607f1b41b133b789b86cc40a0af7913"",""sha256:a271a51b4d4c6be0f34473a6cb44ccdfa43d697068d9adafb7332f7dcd02ce20""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[backend-build 5/9] RUN mvn dependency:go-offline -B --no-transfer-progress || true,2026-04-27T10:28:01.604535233Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:de96e5b07fb31f7757977fccbabd362c6607f1b41b133b789b86cc40a0af7913"",""inputs"":[""sha256:72bb1d183ca94b65328dba0a97505053d77a51184aa0761dcb99b3efed64868d""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[backend-build 4/9] COPY backend/pom.xml .,2026-04-27T10:28:01.604557508Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:72bb1d183ca94b65328dba0a97505053d77a51184aa0761dcb99b3efed64868d"",""inputs"":[""sha256:2f24dc699152b5ed9996eadc271a79c14b13b621f424f516cb48486d40c4ae5f"",""sha256:a271a51b4d4c6be0f34473a6cb44ccdfa43d697068d9adafb7332f7dcd02ce20""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
