message,timestamp,severity,tags,attributes
"scheduling build on Metal builder ""builder-bccdni""",2026-05-06T08:39:03.146227732Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[snapshot] received sha256:338467c443cbce764d6069a2f8f1354f4d0c7aeb230fac9b99995c1fade5309e md5:d12846fd75e90d5fd7e3259fcee6774a,2026-05-06T08:39:03.822568183Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""deploymentInstanceId"":null}","{""level"":""info""}"
receiving snapshot,2026-05-06T08:39:03.822622224Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""deploymentInstanceId"":null}","{""source"":""railway.progress"",""status"":""complete"",""size"":4438273,""duration_ms"":1090,""level"":""info""}"
found 'Dockerfile' at 'Dockerfile',2026-05-06T08:39:03.888139888Z,debug,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""deploymentInstanceId"":null}","{""source"":""railway.snapshot_analyze"",""level"":""debug""}"
"skipping 'Dockerfile' at 'backend/Dockerfile' as it is not rooted at a valid path (root_dir=, fileOpts={acceptChildOfRepoRoot:false})",2026-05-06T08:39:03.888146207Z,debug,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""deploymentInstanceId"":null}","{""source"":""railway.snapshot_analyze"",""level"":""debug""}"
found 'railway.json' at 'railway.json',2026-05-06T08:39:03.888147579Z,debug,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""deploymentInstanceId"":null}","{""source"":""railway.snapshot_analyze"",""level"":""debug""}"
analyzing snapshot,2026-05-06T08:39:03.888234039Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""deploymentInstanceId"":null}","{""source"":""railway.progress"",""status"":""complete"",""size"":4438273,""duration_ms"":65,""level"":""info""}"
uploading snapshot,2026-05-06T08:39:05.135042009Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""deploymentInstanceId"":null}","{""source"":""railway.progress"",""status"":""complete"",""size"":4438273,""duration_ms"":76,""level"":""info""}"
unpacking archive,2026-05-06T08:39:05.153103905Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""deploymentInstanceId"":null}","{""source"":""railway.progress"",""status"":""complete"",""size"":19179520,""duration_ms"":85,""level"":""info""}"
[internal] load build definition from Dockerfile,2026-05-06T08:39:07.266688933Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:6031a591b30117fd6fe783451a68bf0ac3e9c3b7dd5a510f0e17503ffd912983"",""level"":""info""}"
[internal] load build definition from Dockerfile,2026-05-06T08:39:07.266830946Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""completed"":""2026-05-06T08:39:07.266575623Z"",""level"":""info"",""digest"":""sha256:6031a591b30117fd6fe783451a68bf0ac3e9c3b7dd5a510f0e17503ffd912983"",""started"":""2026-05-06T08:39:07.266525497Z""}"
[internal] load build definition from Dockerfile,2026-05-06T08:39:07.266972438Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""started"":""2026-05-06T08:39:07.266731557Z"",""level"":""info"",""digest"":""sha256:6031a591b30117fd6fe783451a68bf0ac3e9c3b7dd5a510f0e17503ffd912983""}"
[internal] load build definition from Dockerfile,2026-05-06T08:39:07.414438694Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":""6ee7ca22-58a3-4610-8888-114ed284e29d"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""completed"":""2026-05-06T08:39:07.413791452Z"",""level"":""info"",""digest"":""sha256:6031a591b30117fd6fe783451a68bf0ac3e9c3b7dd5a510f0e17503ffd912983"",""started"":""2026-05-06T08:39:07.266731557Z""}"
